variable,value
t,0.45
i,0.45
m,0.45
e,0.1
 ,0.001
i,0.001
n,1e-30
 ,0
c,6e-06
o,0.001
m,6666.1
p,133
o,0.001
n,1e-50
e,1e-09
n,1e-25
t,1e-08
 ,1e-18
e,1000
n,6e-06
v,0
i,0
r,0
o,8.51e-22
n,1000000000000000
m,0
e,0
n,1
t,500
 ,6e-06
(,0
s,6e-06
e,0.45
c,5.5e-06
o,6632.7695
n,0.45
d,5.5e-06
),6632.7695
constant_38,0.0003
constant_39,1e-06
constant_40,1.5e-05
constant_41,1.5e-05
constant_42,0.00025
constant_43,0.00025
constant_44,3.392920065876977e-14
constant_45,5.107485693775878e-22
constant_46,-1.1820960009520325
constant_47,1.1309733552923257e-16
constant_48,1.6964600329384885e-15
constant_49,1.6964600329384885e-15
constant_50,2.375829444277281e-14
constant_51,4.256238078146565e-22
constant_52,2.375829444277281e-14
constant_53,4.256238078146565e-22
constant_54,3.5523629350190156
constant_55,5.0893800988154656e-17
constant_56,8.51e-22
constant_57,0
constant_58,2.5537428468879395e-23
constant_59,1.2e-05
constant_60,8.51e-22
constant_61,0.0
constant_62,2.5537428468879395e-23
constant_63,1.2e-05
constant_64,8.51e-22
constant_65,1.2e-05
constant_66,0.5
constant_67,0.5
constant_68,0.0
constant_69,0.0
constant_70,0.0
constant_71,0.0
constant_72,-1.1820960009520325
constant_73,3.5523629350190156
constant_74,-1.1820960009520325
constant_75,3.5523629350190156
constant_76,-1.1691201400706768
constant_77,3.71461005007079
constant_78,-1.1691201400706768
constant_79,3.71461005007079
